id,x,y,V1,V2,V3,V4
1,616725.68,9634700.53,38.67,38.16,39.12,38.43
2,619129.78,9640576.45,31.24,30.17,38.67,37.08
3,613094.48,9624010.45,39.81,40.57,42.58,40.63
4,613992.57,9626845.63,40.86,36.20,42.23,40.80
5,613576.12,9634218.42,35.02,34.63,40.60,44.80
6,609768.33,9634310.08,46.83,53.46,50.98,46.64
7,622778.14,9628640.75,56.96,54.93,57.17,65.36
8,608540.88,9631233.52,69.10,69.01,84.06,80.57
9,615809.27,9628160.9,101.91,93.98,104.15,115.70
10,616439.59,9631942.03,90.45,92.76,104.64,110.06
11,618961.07,9631765.28,157.43,161.39,143.45,163.11
12,613833.08,9638730.73,87.34,79.96,99.06,101.65
13,622645.65,9633881.75,133.44,128.61,151.48,157.68
14,611685,9641300.32,162.98,169.24,204.10,184.01
15,612071.15,9640770.37,212.16,202.55,205.84,206.92
16,621458.88,9638601.81,193.89,208.16,220.10,193.44
17,618206.19,9630939.66,201.64,216.75,245.17,188.37
18,611282.9,9638511.09,160.96,156.85,171.40,153.13
19,617084.37,9638499.31,115.71,118.54,128.47,126.36
20,624917.66,9631119.04,155.92,158.09,158.09,160.56
21,609284.42,9632557.08,180.63,157.95,185.29,181.50
22,609193.78,9633716.18,160.22,169.52,194.73,198.90
23,618953.59,9623333.07,192.19,181.01,158.55,110.52
24,622048.52,9632934.9,69.92,68.33,77.79,75.51
25,619583.7,9638546.98,71.05,70.74,81.24,77.71
26,623091.85,9626906.67,80.66,76.78,84.81,81.42
27,613683.23,9641583.77,75.87,70.83,82.83,85.59
28,625054.55,9633892.66,81.85,88.09,91.58,91.43
29,613320.56,9631791.26,103.79,108.39,108.15,112.00
30,611692.65,9626245.47,126.06,123.94,141.23,145.93
31,613852.73,9621996.86,171.01,162.99,188.21,196.27
32,623305.29,9635785.79,192.36,186.74,208.79,225.76
33,623541.43,9632491.09,247.88,254.14,248.08,273.17
34,618419.48,9640982.9,244.77,241.35,242.50,264.76
35,623351,9634926.37,220.78,208.58,250.53,259.34
36,619102.4,9638745.06,296.42,297.85,355.58,341.69
37,616981.87,9626538.1,375.14,371.78,409.94,390.93
38,622803.59,9640173.44,406.05,410.71,425.94,400.37
39,618849.24,9624590.75,395.53,424.91,465.27,381.82
40,615834.6,9627261.58,362.60,373.61,416.57,341.50
41,614939.08,9643282.51,276.67,275.39,299.87,279.49
42,612508.64,9629039.81,271.63,276.63,286.56,286.92
43,617579.93,9636152.55,336.56,316.04,343.38,342.06
44,618142.88,9640134.23,340.85,327.46,380.02,380.40
45,613189.11,9636806.19,352.40,350.53,353.28,309.42
46,611501.24,9631185.73,262.10,249.34,236.34,186.04
47,610940.37,9627099.91,140.96,139.07,159.04,153.22
48,615851.95,9633171.93,151.71,147.52,166.05,159.13
49,616940.28,9645007.48,156.54,147.61,167.64,167.01
50,623846.43,9636856.37,157.72,158.92,174.42,177.02
